                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.5496,                 1.4297,                 1.7148,                0.91237,                0.35056,                0.76644,                0.28246,                 1.6068,                 1.4351,                 1.9276,             0.00053302,             0.00053302,             0.00053302
                     97,                 1.5609,                 1.4246,                 1.7338,                0.84587,                0.42875,                0.54995,                0.27465,                 1.6035,                 1.3986,                  1.946,             0.00052359,             0.00052359,             0.00052359
                     98,                 1.5833,                 1.4289,                 1.7579,                0.78439,                0.44098,                0.54634,                0.26213,                 1.5887,                 1.3151,                 1.9056,             0.00051415,             0.00051415,             0.00051415
                     99,                 1.5339,                 1.3849,                 1.7123,                0.87219,                0.40905,                0.51504,                0.23722,                 1.6165,                 1.3211,                 1.9059,             0.00050472,             0.00050472,             0.00050472
                    100,                  1.599,                 1.4592,                 1.7543,                0.88963,                0.33956,                 0.5272,                0.25171,                 1.5781,                 1.3676,                 1.9012,             0.00049529,             0.00049529,             0.00049529
                    101,                 1.5341,                 1.4051,                 1.7201,                0.83273,                0.34399,                0.73202,                0.30069,                 1.5489,                 1.3306,                 1.8791,             0.00048586,             0.00048586,             0.00048586
                    102,                 1.5291,                 1.4161,                 1.7139,                0.88938,                0.42454,                0.79809,                0.28009,                 1.5811,                 1.3563,                  1.886,             0.00047643,             0.00047643,             0.00047643
                    103,                 1.5343,                  1.385,                 1.7011,                0.90637,                0.40276,                0.50895,                0.24881,                 1.5677,                 1.3672,                 1.9104,               0.000467,               0.000467,               0.000467
                    104,                 1.4917,                 1.3956,                 1.6721,                0.80363,                0.42477,                 0.5823,                 0.2815,                 1.5513,                 1.3582,                 1.8924,             0.00045757,             0.00045757,             0.00045757
                    105,                 1.4777,                 1.3422,                 1.6579,                0.91158,                0.38861,                0.78677,                0.30637,                 1.5832,                 1.3886,                 1.9117,             0.00044813,             0.00044813,             0.00044813
